mapping,is_official,solver,stage1_status,stage2_status,stage1_message,stage2_message,optimal_cost_yuan,dispatch_cost_yuan,epsilon_yuan,cost_increase_yuan,cost_bound_violation_yuan,lp_dual_gap_yuan,lp_stationarity_max,purchase_kwh,charge_kwh,discharge_kwh,curtailment_kwh,baseline_purchase_kwh,baseline_cost_yuan,saving_yuan,saving_fraction,energy_balance_max_abs_kwh,soc_transition_max_abs_kwh,soc_continuity_max_abs_kwh,soc_min_kwh,soc_max_kwh,charge_max_kwh,discharge_max_kwh,soc_0000_kwh,soc_2400_kwh,soc_terminal_abs_error_kwh,simultaneous_charge_discharge_max_kwh,block_charge_sum_abs_error_kwh,block_discharge_sum_abs_error_kwh,minimum_nonnegative_variable_kwh,nan_inf_count,period_count,blocks_each_24
A,False,"HiGHS LP, lexicographic two stages",0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),35126.94858928963,35126.948940559116,0.00035126948589289626,0.0003512694893288426,3.4359463516563105e-12,1.4551915228366852e-11,0.0,59482.6981674023,20740.661758257716,16799.936024188748,0.0,61789.9354,48052.046590846665,12925.09765028755,0.26898121031851374,1.1368683772161603e-13,8.313350008393172e-13,0.0,1200.0,10800.0,833.3333333333334,715.6530333333333,6000.0,6000.0,0.0,0.0,0.0,3.637978807091713e-12,0.0,0,144,True
B,True,"HiGHS LP, lexicographic two stages",0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),35126.84858928963,35126.84894055812,0.0003512684858928963,0.00035126849252264947,6.6297531700620915e-12,7.275957614183426e-12,0.0,59482.69816740467,20740.661758270187,16799.936024198847,0.0,61789.935399999995,48052.046590846665,12925.197650288545,0.26898329139534793,1.1368683772161603e-13,8.313350008393172e-13,0.0,1200.0,10800.0,833.3333333333334,715.6530333333333,6000.0,6000.0,0.0,0.0,3.637978807091713e-12,0.0,0.0,0,144,True
