source_excel_row,source_time,template_label,A_interval,B_civil_interval,B_is_next_day_periodic_equivalent
100,16:30,16:30-16:40,16:20-16:30,16:30-16:40,False
101,16:40,16:40-16:50,16:30-16:40,16:40-16:50,False
102,16:50,16:50-17:00,16:40-16:50,16:50-17:00,False
103,17:00,17:00-17:10,16:50-17:00,17:00-17:10,False
104,17:10,17:10-17:20,17:00-17:10,17:10-17:20,False
105,17:20,17:20-17:30,17:10-17:20,17:20-17:30,False
106,17:30,17:30-17:40,17:20-17:30,17:30-17:40,False
107,17:40,17:40-17:50,17:30-17:40,17:40-17:50,False
108,17:50,17:50-18:00,17:40-17:50,17:50-18:00,False
109,18:00,18:00-18:10,17:50-18:00,18:00-18:10,False
110,18:10,18:10-18:20,18:00-18:10,18:10-18:20,False
111,18:20,18:20-18:30,18:10-18:20,18:20-18:30,False
112,18:30,18:30-18:40,18:20-18:30,18:30-18:40,False
113,18:40,18:40-18:50,18:30-18:40,18:40-18:50,False
114,18:50,18:50-19:00,18:40-18:50,18:50-19:00,False
115,19:00,19:00-19:10,18:50-19:00,19:00-19:10,False
116,19:10,19:10-19:20,19:00-19:10,19:10-19:20,False
117,19:20,19:20-19:30,19:10-19:20,19:20-19:30,False
118,19:30,19:30-19:40,19:20-19:30,19:30-19:40,False
119,19:40,19:40-19:50,19:30-19:40,19:40-19:50,False
120,19:50,19:50-20:00,19:40-19:50,19:50-20:00,False
121,20:00,20:00-20:10,19:50-20:00,20:00-20:10,False
122,20:10,20:10-20:20,20:00-20:10,20:10-20:20,False
123,20:20,20:20-20:30,20:10-20:20,20:20-20:30,False
124,20:30,20:30-20:40,20:20-20:30,20:30-20:40,False
125,20:40,20:40-20:50,20:30-20:40,20:40-20:50,False
126,20:50,20:50-21:00,20:40-20:50,20:50-21:00,False
127,21:00,21:00-21:10,20:50-21:00,21:00-21:10,False
128,21:10,21:10-21:20,21:00-21:10,21:10-21:20,False
129,21:20,21:20-21:30,21:10-21:20,21:20-21:30,False
