scheme,alpha,kappa,total_cost_yuan,planned_cost_yuan,emergency_cost_yuan,emergency_kwh,final_soc_kwh
0,0.5,1.0,22372877.771587737,12158095.601143138,10214782.1704446,1887205.344932152,5828.64887425926
1,0.5,1.0,16445707.365547676,12401419.520456653,4044287.845091023,651709.2922241164,5926.167663681898
2,0.8,1.0,14430111.560164306,13540410.715848543,889700.8443157643,143809.4051180924,5933.949613327737
9,-1,-1,14446994.021411767,13663196.83501049,783797.1864012787,126878.5223090918,5954.300799977091
