strategy,plan_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,waste_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
greedy,21904057.602800824,101160.2086249528,6784977.189384803,5498258.917108987,2779310.044183277,13953887.767664919,674454.6678421871,14628342.435507094,8649.331218191313,5952.227098975151
mpc,21899043.24670157,105639.67653283513,6780250.414502079,5494387.233843061,2779630.2476087115,13951680.282102054,629008.4575540889,14580688.739656135,8649.331218191313,6000.0
official,21900437.276374314,104472.71097849317,6781429.643236002,5495342.40911754,2779633.2582676667,13952299.613011993,637795.3043313253,14590094.917343311,8649.331218191313,6000.0
