date,selector,history_start,history_end,risk_index,controller,selected,combo,score,window_cost_yuan,window_emergency_kwh,initial_soc_kwh,final_soc_kwh,inventory_credit_yuan
2025-03-08,same_start,2025-02-08,2025-03-07,0,greedy,0,0,1249524.2315162309,1249323.9482366685,10157.431852357739,7916.230552260187,7621.490387610211,-200.28327956234463
2025-03-08,same_start,2025-02-08,2025-03-07,0,mpc,0,1,1244806.0890817146,1244605.8058021523,10428.968624527202,7916.230552260187,7621.490387610211,-200.28327956234463
2025-03-08,same_start,2025-02-08,2025-03-07,1,greedy,0,2,1244726.8286129048,1244490.217160466,9748.310945332678,7916.230552260187,7568.029251571029,-236.61145243885673
2025-03-08,same_start,2025-02-08,2025-03-07,1,mpc,0,3,1240301.6631723046,1240065.0517198658,10002.054205757602,7916.230552260187,7568.029251571029,-236.61145243885673
2025-03-08,same_start,2025-02-08,2025-03-07,2,greedy,0,4,1241374.454682888,1241127.2554345592,8074.761747366239,7916.230552260187,7552.448077192787,-247.199248328884
2025-03-08,same_start,2025-02-08,2025-03-07,2,mpc,0,5,1238056.1049219726,1237808.9056736438,8252.70659938477,7916.230552260187,7552.448077192787,-247.199248328884
2025-03-08,same_start,2025-02-08,2025-03-07,3,greedy,0,6,1247280.587460817,1247103.6187101265,6802.835143963852,7916.230552260187,7655.800431331436,-176.96875069053294
2025-03-08,same_start,2025-02-08,2025-03-07,3,mpc,0,7,1244339.225323322,1244162.2565726314,6890.466770034045,7916.230552260187,7655.800431331436,-176.96875069053294
2025-03-08,same_start,2025-02-08,2025-03-07,4,greedy,0,8,1238327.9111802347,1238064.678036632,7164.5928921273,7916.230552260187,7528.852333487596,-263.2331436027109
2025-03-08,same_start,2025-02-08,2025-03-07,4,mpc,1,9,1235625.825023336,1235362.5918797334,7283.097638137663,7916.230552260187,7528.852333487596,-263.2331436027109
2025-03-08,same_start,2025-02-08,2025-03-07,5,greedy,0,10,1244830.5514612817,1244646.5815823781,5539.787642648393,7916.230552260187,7645.497456031823,-183.9698789036043
2025-03-08,same_start,2025-02-08,2025-03-07,5,mpc,0,11,1242627.8647869104,1242443.8949080068,5593.368552218642,7916.230552260187,7645.497456031823,-183.9698789036043
2025-03-08,continuous,2025-02-08,2025-03-07,0,greedy,0,0,1249524.2315162309,1249323.9482366685,10157.43185235774,7916.230552260187,7621.490387610211,-200.28327956234463
2025-03-08,continuous,2025-02-08,2025-03-07,0,mpc,0,1,1244806.0890817146,1244605.8058021523,10428.968624527202,7916.230552260187,7621.490387610211,-200.28327956234463
2025-03-08,continuous,2025-02-08,2025-03-07,1,greedy,0,2,1244718.1582614472,1244498.6367843067,9748.310945332678,7891.08066384069,7568.029251571029,-219.52147714056036
2025-03-08,continuous,2025-02-08,2025-03-07,1,mpc,0,3,1240292.992820847,1240073.4713437066,10002.0542057576,7891.08066384069,7568.029251571029,-219.52147714056036
