date,slot,period,price_yuan_per_kwh,load_kwh,pv_kwh,plan_purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,waste_kwh,soc_start_kwh,soc_end_kwh
2025-02-01,0,00:00-00:10,0.3281,422.0303666666667,0.0,462.38162648116145,40.35125981449477,0.0,0.0,0.0,8649.331218191313,8685.647352024358
2025-02-01,1,00:10-00:20,0.3257,415.4073166666667,0.0,479.13071902298714,63.723402356320435,0.0,0.0,0.0,8685.647352024358,8742.998414145046
2025-02-01,2,00:20-00:30,0.3041,410.7166666666667,0.0,1216.8746158057952,806.1579491391285,0.0,0.0,0.0,8742.998414145046,9468.540568370261
2025-02-01,3,00:30-00:40,0.3126,430.29479999999995,0.0,489.0481346312223,58.753334631222344,0.0,0.0,0.0,9468.540568370261,9521.41856953836
2025-02-01,4,00:40-00:50,0.3286,424.4105833333333,0.0,497.04055245719763,72.62996912386433,0.0,0.0,0.0,9521.41856953836,9586.785541749838
2025-02-01,5,00:50-01:00,0.3438,406.0516666666667,0.0,494.74163473507,88.68996806840335,0.0,0.0,0.0,9586.785541749838,9666.6065130114
2025-02-01,6,01:00-01:10,0.3704,436.7501833333333,0.0,493.26025298927607,56.51006965594274,0.0,0.0,0.0,9666.6065130114,9717.465575701748
2025-02-01,7,01:10-01:20,0.3746,451.7976833333333,0.0,482.00538251489945,30.20769918156617,0.0,0.0,0.0,9717.465575701748,9744.652504965157
2025-02-01,8,01:20-01:30,0.3606,446.08,0.0,474.55305452218187,28.473054522181883,0.0,0.0,0.0,9744.652504965157,9770.278254035122
2025-02-01,9,01:30-01:40,0.3582,471.7663333333333,0.0,498.08431741198063,26.317984078647328,0.0,0.0,0.0,9770.278254035122,9793.964439705904
2025-02-01,10,01:40-01:50,0.3041,448.02596666666665,0.0,1336.680574394558,833.3333333333334,0.0,0.0,55.321274394558145,9793.964439705904,10543.964439705904
2025-02-01,11,01:50-02:00,0.2537,397.40333333333336,0.0,1322.5439559552492,284.4839558823292,0.0,0.0,640.6566667395866,10543.964439705904,10800.0
2025-02-01,12,02:00-02:10,0.3346,434.0906333333333,0.0,510.2019754125386,0.0,0.0,0.0,76.11134207920531,10800.0,10800.0
2025-02-01,13,02:10-02:20,0.3971,490.5609166666666,0.0,0.0,0.0,490.5609166666666,0.0,0.0,10800.0,10254.932314814814
2025-02-01,14,02:20-02:30,0.367,503.22,0.0,537.575125255,34.35512525499996,0.0,0.0,0.0,10254.932314814814,10285.851927544314
2025-02-01,15,02:30-02:40,0.3185,474.0728166666667,0.0,1000.8297763038051,526.7569596371384,0.0,0.0,0.0,10285.851927544314,10759.933191217739
2025-02-01,16,02:40-02:50,0.3285,461.38439999999997,0.0,548.7102740074474,44.51867642473493,0.0,0.0,42.807197582712526,10759.933191217739,10800.0
2025-02-01,17,02:50-03:00,0.3772,476.94166666666666,0.0,557.9996732466393,0.0,0.0,0.0,81.05800657997264,10800.0,10800.0
2025-02-01,18,03:00-03:10,0.3815,483.39955000000003,0.0,550.9024284302084,0.0,0.0,0.0,67.50287843020834,10800.0,10800.0
2025-02-01,19,03:10-03:20,0.3822,486.6019166666667,0.0,532.9364486178574,0.0,0.0,0.0,46.33453195119074,10800.0,10800.0
2025-02-01,20,03:20-03:30,0.3962,498.84833333333336,0.0,0.06209463547443484,0.0,498.78623869785895,0.0,0.0,10800.0,10245.79306811349
2025-02-01,21,03:30-03:40,0.3879,518.3097333333334,0.0,511.7565874926221,0.0,6.553145840711295,0.0,0.0,10245.79306811349,10238.511794957143
2025-02-01,22,03:40-03:50,0.3405,509.13346666666666,0.0,516.6841579553484,7.550691288681719,0.0,0.0,0.0,10238.511794957143,10245.307417116957
2025-02-01,23,03:50-04:00,0.3164,483.6166666666666,0.0,1356.8386542048443,616.3250920922695,0.0,0.0,256.89689544590817,10245.307417116957,10800.0
2025-02-01,24,04:00-04:10,0.3916,491.1868,0.0,552.0791550402716,0.0,0.0,0.0,60.89235504027164,10800.0,10800.0
2025-02-01,25,04:10-04:20,0.4109,504.64528333333334,0.0,570.6489800627771,0.0,0.0,0.0,66.00369672944379,10800.0,10800.0
