date,slot,period,actual_load_kwh,old_load_forecast_kwh,new_load_forecast_kwh,actual_pv_kwh,pv_forecast_kwh
2025-02-01,0,00:00-00:10,422.0303666666667,471.6835512296403,433.11242231581184,0.0,0.0
2025-02-01,1,00:10-00:20,415.4073166666667,466.93268019660667,444.8334187354086,0.0,0.0
2025-02-01,2,00:20-00:30,410.7166666666667,469.40762238294826,459.6120023974536,0.0,0.0
2025-02-01,3,00:30-00:40,430.29479999999995,506.270089508184,467.5039870744539,0.0,0.0
2025-02-01,4,00:40-00:50,424.4105833333333,513.3818007820196,465.466820352678,0.0,0.0
2025-02-01,5,00:50-01:00,406.0516666666667,491.6408845688293,463.1679026305504,0.0,0.0
2025-02-01,6,01:00-01:10,436.7501833333333,518.319359761658,471.64213968605463,0.0,0.0
2025-02-01,7,01:10-01:20,451.7976833333333,506.3450362783954,464.9604504203246,0.0,0.0
2025-02-01,8,01:20-01:30,446.08,484.4135025824821,457.508122427607,0.0,0.0
2025-02-01,9,01:30-01:40,471.7663333333333,511.937025385348,488.0290626678155,0.0,0.0
2025-02-01,10,01:40-01:50,448.02596666666665,527.8407395473432,497.4219515524469,0.0,0.0
2025-02-01,11,01:50-02:00,397.40333333333336,539.6064738900251,479.6475579125076,0.0,0.0
2025-02-01,12,02:00-02:10,434.0906333333333,528.1769224532524,487.58283758394265,0.0,0.0
2025-02-01,13,02:10-02:20,490.5609166666666,542.1396579959194,498.8244127704316,0.0,0.0
2025-02-01,14,02:20-02:30,503.22,528.1985108836963,501.59940388931307,0.0,0.0
2025-02-01,15,02:30-02:40,474.0728166666667,518.7417670639682,510.1563740048624,0.0,0.0
2025-02-01,16,02:40-02:50,461.38439999999997,517.4464074232623,521.6912805257061,0.0,0.0
2025-02-01,17,02:50-03:00,476.94166666666666,519.8681174354665,530.980679764898,0.0,0.0
2025-02-01,18,03:00-03:10,483.39955000000003,543.3828232223422,534.1084387640469,0.0,0.0
2025-02-01,19,03:10-03:20,486.6019166666667,542.3423494974098,524.3027865582403,0.0,0.0
2025-02-01,20,03:20-03:30,498.84833333333336,541.1572743114816,508.2148391969185,0.0,0.0
2025-02-01,21,03:30-03:40,518.3097333333334,530.0449200874117,502.6042638879569,0.0,0.0
2025-02-01,22,03:40-03:50,509.13346666666666,537.609639200113,508.1217361445969,0.0,0.0
2025-02-01,23,03:50-04:00,483.6166666666666,557.8456065106889,523.505320871511,0.0,0.0
2025-02-01,24,04:00-04:10,491.1868,556.8914639910593,543.5167332295202,0.0,0.0
2025-02-01,25,04:10-04:20,504.64528333333334,535.7854167200005,539.9613808241904,0.0,0.0
2025-02-01,26,04:20-04:30,505.5783333333333,554.2025018127819,525.0558394605458,0.0,0.0
2025-02-01,27,04:30-04:40,503.2309666666667,558.2091836669489,537.7277929466816,0.0,0.0
2025-02-01,28,04:40-04:50,502.84698333333336,580.2666358702159,541.2735722001232,0.00023333333333333333,0.0002493700914452966
2025-02-01,29,04:50-05:00,499.64166666666665,556.4555016592449,530.1954599655261,0.0,0.0
2025-02-01,30,05:00-05:10,488.78358333333335,567.3859999838688,537.5739695500433,0.0,0.0
2025-02-01,31,05:10-05:20,498.51875,560.4449079545337,549.1253330383524,0.003316666666666667,0.003518959168234427
2025-02-01,32,05:20-05:30,529.2233333333334,577.4156967216828,556.5443154742624,0.0,0.0
2025-02-01,33,05:30-05:40,547.4103166666666,588.3021083265771,563.3471521470935,0.0,0.0
2025-02-01,34,05:40-05:50,531.2274,586.1785588962596,548.9332613030725,0.04623333333333333,0.04897344981768162
2025-02-01,35,05:50-06:00,510.98333333333335,578.0174913758437,534.2593459462083,0.0,0.0
2025-02-01,36,06:00-06:10,535.1871833333333,594.8112335664686,561.5461102601238,0.0,0.0
2025-02-01,37,06:10-06:20,533.9993499999999,600.4006792275352,570.2336515270897,0.6440166666666667,0.6821371210618116
2025-02-01,38,06:20-06:30,504.52,584.5887660743671,549.0064267448436,0.0,0.0
2025-02-01,39,06:30-06:40,519.5536833333333,596.8576563671398,552.715613614039,0.0,0.0
2025-02-01,40,06:40-06:50,566.415,643.4839750707378,597.0956169097974,14.934916666666666,11.438290714112322
2025-02-01,41,06:50-07:00,608.7916666666666,682.7445740813976,643.4773883998012,56.75,49.066079714844456
2025-02-01,42,07:00-07:10,617.2140499999999,647.152737309782,637.5478002548016,102.656,91.86344194920139
2025-02-01,43,07:10-07:20,595.3964666666667,668.3331157804547,634.8145823865576,147.48791666666668,136.74752777168285
2025-02-01,44,07:20-07:30,579.5366666666666,709.9229981460336,655.4128400225317,190.11249999999998,183.68592733697912
2025-02-01,45,07:30-07:40,609.0003666666667,697.3616323203762,662.2167612836693,231.34661666666668,231.7589307591206
2025-02-01,46,07:40-07:50,640.2366833333333,675.6219243061178,643.5718637883473,279.07533333333333,279.67031968106517
2025-02-01,47,07:50-08:00,633.9416666666667,675.773466711416,623.9725064489458,334.01875,328.5081454590348
2025-02-01,48,08:00-08:10,590.91065,683.5584099341856,636.5645822197613,388.68441666666666,379.924261114538
2025-02-01,49,08:10-08:20,568.5581666666667,707.1477824819315,635.4899322837693,438.7655666666667,428.3747127138249
2025-02-01,50,08:20-08:30,574.2283333333334,717.1001550115465,616.9514572492051,487.94374999999997,476.25614600868937
2025-02-01,51,08:30-08:40,577.8523166666666,706.5336365743738,629.1051878022107,541.8831666666666,530.9251419907212
2025-02-01,52,08:40-08:50,649.0800333333333,702.9532685137424,678.1699706823772,586.6261000000001,581.0559879485388
2025-02-01,53,08:50-09:00,737.1266666666667,749.2373163533257,731.3727567665719,621.9499999999999,622.9368276989978
2025-02-01,54,09:00-09:10,711.2534166666666,782.7080296843154,745.0897608884397,665.4293,664.9357608264886
2025-02-01,55,09:10-09:20,698.3616999999999,789.2342276699051,742.5501032975902,729.7222,713.567540570624
2025-02-01,56,09:20-09:30,736.3866666666667,773.2051923721625,740.2608472651715,798.0875,760.9525184335877
2025-02-01,57,09:30-09:40,733.2125666666667,773.1306504770641,733.7548668386906,838.3206833333334,793.6419585041832
2025-02-01,58,09:40-09:50,697.1223666666666,792.749580346649,729.323161548183,867.3196166666667,830.1074381517716
2025-02-01,59,09:50-10:00,678.5883333333334,793.207526518424,729.1720385550832,894.0187500000001,874.594007112013
2025-02-01,60,10:00-10:10,711.4322000000001,752.45807839403,728.7905899544483,911.8498333333333,913.2226336139258
2025-02-01,61,10:10-10:20,706.70705,751.2248555505939,725.1998832904983,933.6272333333333,948.5018775168594
2025-02-01,62,10:20-10:30,666.9933333333333,783.4000765416821,721.8023716854312,959.21875,974.7935868995089
2025-02-01,63,10:30-10:40,678.7204333333333,766.2982893794922,724.0748996033077,979.8081666666667,982.1756906449609
2025-02-01,64,10:40-10:50,678.1305,772.8574832116981,722.68510482733,1021.3479000000001,992.5972184871424
2025-02-01,65,10:50-11:00,652.9250000000001,790.3977045244449,717.6720823390518,1060.2749999999999,1014.4916407727807
2025-02-01,66,11:00-11:10,657.69435,783.3595054267815,715.4277481835275,1046.1778166666666,1034.2632323797113
2025-02-01,67,11:10-11:20,656.1017166666667,745.0306023250714,696.9846560501737,1051.3417833333333,1037.8452286795791
2025-02-01,68,11:20-11:30,654.535,731.7285851630133,677.4902990327813,1099.0625,1037.7553053121687
2025-02-01,69,11:30-11:40,692.20855,768.4599181551307,691.6915386317701,1136.31565,1058.7869738368836
2025-02-01,70,11:40-11:50,680.1494833333334,758.6118760245702,693.0120968317809,1128.4168166666666,1070.383799354643
2025-02-01,71,11:50-12:00,640.0333333333333,702.6093875458612,674.9808051707996,1100.65625,1059.831039290273
2025-02-01,72,12:00-12:10,676.8413833333333,715.8111816577702,678.1814086621187,1105.4832,1045.5685743014578
2025-02-01,73,12:10-12:20,663.0938,734.3932855183809,688.3456335090775,1089.4810666666667,1042.1046142592404
2025-02-01,74,12:20-12:30,594.0216666666666,724.4480772543872,687.2089849639796,1052.4125000000001,1047.3661266509555
