slot,source_endpoint,original_template_label,output_template_label,physical_interval,source_data_column_1based,output_excel_column_1based
92,15:30,15:30-15:40,15:30-15:40,15:20-15:30,94,94
93,15:40,15:40-15:50,15:40-15:50,15:30-15:40,95,95
94,15:50,15:50-16:00,15:50-16:00,15:40-15:50,96,96
95,16:00,16:00-16:10,16:00-16:10,15:50-16:00,97,97
96,16:10,16:10-16:20,16:10-16:20,16:00-16:10,98,98
97,16:20,16:20-16:30,16:20-16:30,16:10-16:20,99,99
98,16:30,16:30-16:40,16:30-16:40,16:20-16:30,100,100
99,16:40,16:40-16:50,16:40-16:50,16:30-16:40,101,101
100,16:50,16:50-17:00,16:50-17:00,16:40-16:50,102,102
101,17:00,17:00-17:10,17:00-17:10,16:50-17:00,103,103
102,17:10,17:10-17:20,17:10-17:20,17:00-17:10,104,104
103,17:20,17:20-17:30,17:20-17:30,17:10-17:20,105,105
104,17:30,17:30-17:40,17:30-17:40,17:20-17:30,106,106
105,17:40,17:40-17:50,17:40-17:50,17:30-17:40,107,107
106,17:50,17:50-18:00,17:50-18:00,17:40-17:50,108,108
107,18:00,18:00-18:10,18:00-18:10,17:50-18:00,109,109
108,18:10,18:10-18:20,18:10-18:20,18:00-18:10,110,110
109,18:20,18:20-18:30,18:20-18:30,18:10-18:20,111,111
110,18:30,18:30-18:40,18:30-18:40,18:20-18:30,112,112
111,18:40,18:40-18:50,18:40-18:50,18:30-18:40,113,113
112,18:50,18:50-19:00,18:50-19:00,18:40-18:50,114,114
113,19:00,19:00-19:10,19:00-19:10,18:50-19:00,115,115
114,19:10,19:10-19:20,19:10-19:20,19:00-19:10,116,116
115,19:20,19:20-19:30,19:20-19:30,19:10-19:20,117,117
116,19:30,19:30-19:40,19:30-19:40,19:20-19:30,118,118
117,19:40,19:40-19:50,19:40-19:50,19:30-19:40,119,119
118,19:50,19:50-20:00,19:50-20:00,19:40-19:50,120,120
119,20:00,20:00-20:10,20:00-20:10,19:50-20:00,121,121
120,20:10,20:10-20:20,20:10-20:20,20:00-20:10,122,122
121,20:20,20:20-20:30,20:20-20:30,20:10-20:20,123,123
122,20:30,20:30-20:40,20:30-20:40,20:20-20:30,124,124
123,20:40,20:40-20:50,20:40-20:50,20:30-20:40,125,125
124,20:50,20:50-21:00,20:50-21:00,20:40-20:50,126,126
125,21:00,21:00-21:10,21:00-21:10,20:50-21:00,127,127
