strategy,plan_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,waste_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
greedy,21904057.60280081,101160.20862495276,6784977.189384806,5498258.917108987,2779310.044183278,13953887.767664913,674454.667842187,14628342.4355071,8649.331218191313,5952.227098975151
mpc,21899043.24670157,105639.67653283513,6780250.414502082,5494387.233843059,2779630.247608712,13951680.28210205,629008.4575540883,14580688.739656137,8649.331218191313,6000.0
official,21900437.27637431,104472.71097849317,6781429.643236008,5495342.409117538,2779633.258267667,13952299.613011988,637795.304331325,14590094.917343313,8649.331218191313,6000.0
