scheme,days,total_cost_yuan,original_plan_cost_yuan,increase_cost_yuan,decrease_refund_yuan,emergency_cost_yuan,normal_energy_kwh,emergency_energy_kwh,waste_energy_kwh,adopted_updates,start_soc_kwh,end_soc_kwh
A,334,15594732.643269166,13178809.095191067,0.0,0.0,2415923.5480780993,20794225.043205492,367340.740211456,1913696.5841203446,0,6491.250253641917,5949.2670012740655
B,334,14479815.418196945,13155083.571960058,178594.91030054248,116020.53436277938,1262157.470299125,20489847.567405008,204006.70818300685,1456054.6865707908,334,6491.250253641917,5949.2670012740655
C,334,14135199.888791744,13204421.749138607,683149.4901038535,317086.9225175093,564715.5720667929,20437256.958906986,96797.49060408778,1303934.7695680843,1001,6491.250253641917,5949.2670012740655
