scheme,days,total_cost_yuan,emergency_energy_kwh,start_soc_kwh,end_soc_kwh,adopted_updates
A,334,14085464.507970704,206344.3549824592,5400.01986424734,4694.656589047096,0
B,334,13310266.608450526,95377.51490196577,5400.01986424734,4694.656589047096,334
C,334,13152569.490107851,36369.210713634166,5400.01986424734,4694.656589047096,999
