date,time_range,emergency_kwh
2025-02-05,06:00-06:10,58.486183333333315
2025-02-05,10:30-10:40,55.86711637922237
2025-02-05,20:30-20:40,121.34296371966116
2025-02-05,21:10-21:20,15.820601757612257
2025-02-06,07:50-08:10,54.76703333333364
2025-02-09,05:50-06:10,54.99936666666679
2025-02-09,09:40-10:50,1738.276196286642
2025-02-09,20:00-21:10,2507.6714949942734
2025-02-09,21:20-21:50,127.51444413578486
2025-02-12,20:30-20:50,601.2220933338389
2025-02-12,21:40-21:50,15.14452597811794
2025-02-16,05:50-06:00,29.835445617166215
2025-02-16,06:20-06:30,1.0024640867497965
2025-02-16,10:00-10:40,689.6975050931317
2025-02-16,20:30-20:40,557.5314214385745
2025-02-18,05:50-06:00,15.46726299564682
2025-02-19,05:50-06:00,4.511848587491045
2025-02-19,06:10-06:30,47.446231368632766
2025-02-19,10:00-10:40,187.80700550328942
2025-02-19,20:30-21:20,241.7822320907979
2025-02-20,06:00-06:10,30.154241703255252
2025-02-23,06:00-06:10,7.8026482675153375
2025-02-25,05:50-06:00,3.9047959668470185
2025-02-25,06:20-06:30,24.94196009253551
2025-02-26,20:20-20:40,875.3051458311025
2025-02-27,09:20-10:20,729.1693222737373
2025-03-02,20:10-21:00,1782.6810939832517
2025-03-02,21:20-21:40,40.56773875028951
2025-03-05,05:50-06:10,6.618300000000204
2025-03-05,20:30-20:40,57.16826445691504
2025-03-08,07:40-08:00,46.333023259336485
2025-03-09,09:20-10:10,408.9428945430024
2025-03-10,09:50-10:20,70.11120512024138
2025-03-10,20:30-20:40,240.40643187162283
2025-03-13,09:50-10:50,688.3839921444646
2025-03-13,20:20-20:50,861.1508193365569
2025-03-16,05:50-06:00,1.6400000000001
2025-03-20,20:30-20:40,129.07123860874538
2025-03-23,20:30-20:40,124.79567565588331
2025-03-23,20:50-21:10,26.576369475158778
2025-04-02,08:50-10:20,1395.5664666937373
2025-04-06,20:30-20:40,31.587249407420586
2025-04-06,20:50-21:00,48.58492631359347
2025-04-08,20:30-20:40,7.747003705241582
2025-04-09,20:30-20:50,655.468934993583
2025-04-13,21:00-21:20,27.54264326964428
2025-04-27,20:20-20:40,1055.4016687534095
2025-04-27,21:10-21:20,26.704095487488235
2025-04-28,20:10-21:00,2129.2131732109765
2025-04-30,21:00-21:10,13.484897757873068
2025-05-01,20:20-21:50,1478.6405245359074
2025-05-03,20:40-20:50,39.879501042779296
2025-05-03,21:10-21:50,255.72568801985258
2025-05-04,20:30-21:50,709.0833697132537
2025-05-07,20:30-20:40,173.015094612687
2025-05-08,20:00-20:10,30.961257940625956
2025-05-11,19:10-19:30,32.68118098506045
2025-05-18,20:20-20:30,5.236666666666679
2025-05-19,20:20-20:30,67.00333333333344
2025-05-20,20:40-20:50,29.88231139936704
2025-05-21,20:30-21:10,149.63172803966256
2025-05-22,20:20-20:30,2.57000000000005
2025-05-25,20:30-21:10,411.5849540166988
2025-05-25,21:40-21:50,0.34430199480918944
2025-05-26,20:30-20:40,555.8682281583168
2025-05-29,19:10-19:20,17.817433333333497
2025-05-29,20:30-20:40,35.26118718177736
2025-05-29,21:10-21:40,75.74276186858633
2025-06-01,09:30-11:00,1259.6162785370907
2025-06-01,11:10-11:40,99.9922154272709
2025-06-01,17:20-21:50,10937.369143875023
2025-06-02,19:20-20:10,99.72852792601338
2025-06-02,20:20-21:00,1143.033329297667
2025-06-03,19:30-19:50,117.21543387660199
2025-06-04,19:00-19:10,3.6065398890250435
2025-06-04,20:20-20:40,121.73452715458848
