period,old_total_cost_yuan,new_total_cost_yuan,cost_reduction_yuan,old_emergency_kwh,new_emergency_kwh,emergency_reduction_kwh
全年评价期,14446994.021411767,14010512.074329562,436481.94708220474,126878.52230909182,99130.75166229437,27747.77064679745
6月,1486289.7380419418,1433051.7753544613,53237.962687480496,28634.688140070204,21693.846921034878,6940.8412190353265
7月,1586075.3484206405,1564872.4644107288,21202.88400991168,21789.455911229717,13335.857527202,8453.598384027717
