date,period,slot,load_actual_kwh,load_forecast_kwh,pv_actual_kwh,pv_forecast_kwh,net_actual_kwh,net_forecast_kwh,safety_margin_kwh,net_error_kwh
2025-01-02,00:00-00:10,0,603.7584833333333,588.2882666666667,0.0,0.0,603.7584833333333,588.2882666666667,0.0,15.470216666666602
2025-01-02,00:10-00:20,1,603.7935166666666,601.5881166666666,0.0,0.0,603.7935166666666,601.5881166666666,0.0,2.205400000000054
2025-01-02,00:20-00:30,2,618.0383333333333,621.0933333333332,0.0,0.0,618.0383333333333,621.0933333333332,0.0,-3.05499999999995
2025-01-02,00:30-00:40,3,625.0871,585.1051833333333,0.0,0.0,625.0871,585.1051833333333,0.0,39.98191666666662
2025-01-02,00:40-00:50,4,614.1506333333333,583.7604166666666,0.0,0.0,614.1506333333333,583.7604166666666,0.0,30.390216666666674
2025-01-02,00:50-01:00,5,607.3566666666666,631.1683333333333,0.0,0.0,607.3566666666666,631.1683333333333,0.0,-23.811666666666724
2025-01-02,01:00-01:10,6,634.8829999999999,650.0534166666666,0.0,0.0,634.8829999999999,650.0534166666666,0.0,-15.17041666666671
2025-01-02,01:10-01:20,7,642.5204333333334,652.8062666666666,0.0,0.0,642.5204333333334,652.8062666666666,0.0,-10.285833333333244
2025-01-02,01:20-01:30,8,630.63,636.2133333333334,0.0,0.0,630.63,636.2133333333334,0.0,-5.583333333333371
2025-01-02,01:30-01:40,9,651.2308166666667,588.8356,0.0,0.0,651.2308166666667,588.8356,0.0,62.39521666666667
2025-01-02,01:40-01:50,10,661.3733,615.7768833333333,0.0,0.0,661.3733,615.7768833333333,0.0,45.59641666666664
2025-01-02,01:50-02:00,11,647.795,677.4549999999999,0.0,0.0,647.795,677.4549999999999,0.0,-29.659999999999968
2025-01-02,02:00-02:10,12,644.2316833333333,635.1118333333333,0.0,0.0,644.2316833333333,635.1118333333333,0.0,9.119850000000042
2025-01-02,02:10-02:20,13,655.2810166666666,640.8249166666667,0.0,0.0,655.2810166666666,640.8249166666667,0.0,14.456099999999878
2025-01-02,02:20-02:30,14,675.9966666666667,705.77,0.0,0.0,675.9966666666667,705.77,0.0,-29.773333333333312
2025-01-02,02:30-02:40,15,694.1636666666666,684.9959166666665,0.0,0.0,694.1636666666666,684.9959166666665,0.0,9.16775000000007
2025-01-02,02:40-02:50,16,677.9054333333333,666.1490833333332,0.0,0.0,677.9054333333333,666.1490833333332,0.0,11.756350000000111
2025-01-02,02:50-03:00,17,653.24,683.6983333333333,0.0,0.0,653.24,683.6983333333333,0.0,-30.458333333333258
2025-01-02,03:00-03:10,18,678.0538333333333,681.0096166666666,0.0,0.0,678.0538333333333,681.0096166666666,0.0,-2.955783333333329
2025-01-02,03:10-03:20,19,690.0798666666666,688.9604333333333,0.0,0.0,690.0798666666666,688.9604333333333,0.0,1.1194333333332906
2025-01-02,03:20-03:30,20,676.8533333333332,696.53,0.0,0.0,676.8533333333332,696.53,0.0,-19.676666666666733
2025-01-02,03:30-03:40,21,689.7840166666666,658.8951833333333,0.0,0.0,689.7840166666666,658.8951833333333,0.0,30.88883333333331
2025-01-02,03:40-03:50,22,713.8835166666665,651.7916,0.0,0.0,713.8835166666665,651.7916,0.0,62.09191666666652
2025-01-02,03:50-04:00,23,721.8299999999999,683.2183333333334,0.0,0.0,721.8299999999999,683.2183333333334,0.0,38.611666666666565
2025-01-02,04:00-04:10,24,704.1930833333332,687.3103833333332,0.0,0.0,704.1930833333332,687.3103833333332,0.0,16.8827
2025-01-02,04:10-04:20,25,700.3314999999999,694.8344666666667,0.0,0.0,700.3314999999999,694.8344666666667,0.0,5.497033333333206
2025-01-02,04:20-04:30,26,712.3166666666666,710.04,0.0,0.0,712.3166666666666,710.04,0.0,2.2766666666666424
2025-01-02,04:30-04:40,27,703.1725333333334,702.8703666666667,0.0,0.0,703.1725333333334,702.8703666666667,0.0,0.30216666666672154
2025-01-02,04:40-04:50,28,678.2314166666666,710.3095,0.0,0.0,678.2314166666666,710.3095,0.0,-32.078083333333325
2025-01-02,04:50-05:00,29,671.8249999999999,723.6499999999999,0.0,0.0,671.8249999999999,723.6499999999999,0.0,-51.82499999999993
2025-01-02,05:00-05:10,30,710.4925499999999,701.3701333333333,0.00036666666666666667,0.00034999999999999994,710.4921833333333,701.3697833333333,0.0,9.12239999999997
2025-01-02,05:10-05:20,31,721.7514333333334,717.02055,0.0,0.0,721.7514333333334,717.02055,0.0,4.730883333333395
2025-01-02,05:20-05:30,32,691.5216666666666,742.765,0.0,0.0,691.5216666666666,742.765,0.0,-51.24333333333334
2025-01-02,05:30-05:40,33,688.3891,691.4395,0.005116666666666667,0.004983333333333333,688.3839833333333,691.4345166666666,0.0,-3.0505333333333056
2025-01-02,05:40-05:50,34,773.6214333333334,749.6888833333334,0.0,0.0,773.6214333333334,749.6888833333334,0.0,23.932549999999992
2025-01-02,05:50-06:00,35,901.9316666666666,894.8966666666666,0.0,0.0,901.9316666666666,894.8966666666666,0.0,7.034999999999968
2025-01-02,06:00-06:10,36,956.4668499999999,906.8165166666665,0.07131666666666667,0.06948333333333333,956.3955333333332,906.7470333333332,0.0,49.64850000000001
2025-01-02,06:10-06:20,37,949.2315166666667,886.1488333333333,0.0,0.0,949.2315166666667,886.1488333333333,0.0,63.08268333333342
2025-01-02,06:20-06:30,38,922.9433333333333,899.9699999999999,0.0,0.0,922.9433333333333,899.9699999999999,0.0,22.973333333333358
2025-01-02,06:30-06:40,39,910.2624333333333,907.9001166666667,0.9932666666666666,0.9676999999999999,909.2691666666667,906.9324166666667,0.0,2.336750000000052
2025-01-02,06:40-06:50,40,913.9334166666665,907.4001666666666,0.0,0.0,913.9334166666665,907.4001666666666,0.0,6.533249999999953
2025-01-02,06:50-07:00,41,923.48,905.605,1.10625,0.5125,922.37375,905.0925,0.0,17.28125
2025-01-02,07:00-07:10,42,929.2227833333333,908.2136333333333,32.09305,29.299216666666666,897.1297333333333,878.9144166666666,0.0,18.215316666666695
2025-01-02,07:10-07:20,43,944.9938833333333,918.3340333333333,74.27036666666666,70.24933333333333,870.7235166666667,848.0847,0.0,22.638816666666685
2025-01-02,07:20-07:30,44,927.7766666666666,912.6666666666666,116.89374999999998,112.85,810.8829166666667,799.8166666666666,0.0,11.066250000000082
2025-01-02,07:30-07:40,45,846.9908999999999,888.2369166666667,162.7615833333333,158.4685333333333,684.2293166666666,729.7683833333334,0.0,-45.53906666666683
2025-01-02,07:40-07:50,46,956.2591166666666,1014.0193833333333,209.64164999999997,209.26175,746.6174666666666,804.7576333333333,0.0,-58.14016666666669
2025-01-02,07:50-08:00,47,1200.9583333333333,1219.3333333333333,256.05625,265.38124999999997,944.9020833333333,953.9520833333333,0.0,-9.050000000000068
2025-01-02,08:00-08:10,48,1253.2699833333331,1244.9157833333334,303.3820666666667,322.92019999999997,949.8879166666665,921.9955833333333,0.0,27.892333333333113
2025-01-02,08:10-08:20,49,1208.9710833333334,1204.2818333333332,355.4964666666666,370.85434999999995,853.4746166666667,833.4274833333333,0.0,20.047133333333477
2025-01-02,08:20-08:30,50,1192.77,1202.6883333333333,411.95625,415.01875,780.81375,787.6695833333333,0.0,-6.855833333333294
2025-01-02,08:30-08:40,51,1225.2615666666666,1226.9500666666665,466.2322,471.05243333333334,759.0293666666666,755.8976333333333,0.0,3.1317333333333863
2025-01-02,08:40-08:50,52,1238.3733166666666,1212.5855,507.9592666666666,520.35525,730.41405,692.23025,0.0,38.18380000000002
2025-01-02,08:50-09:00,53,1215.875,1179.5483333333332,544.5437499999999,558.49375,671.3312500000001,621.0545833333332,0.0,50.27666666666687
2025-01-02,09:00-09:10,54,1201.27615,1203.6460333333332,591.1414166666666,600.2996166666667,610.1347333333333,603.3464166666665,0.0,6.788316666666788
2025-01-02,09:10-09:20,55,1185.6470833333333,1204.9252166666665,621.1148333333333,645.9392,564.53225,558.9860166666665,0.0,5.5462333333334755
2025-01-02,09:20-09:30,56,1170.52,1183.2216666666666,640.70625,691.6374999999999,529.81375,491.58416666666665,0.0,38.22958333333338
2025-01-02,09:30-09:40,57,1174.6586166666666,1216.1920166666666,682.7234666666666,733.9133666666667,491.93515,482.27864999999997,0.0,9.656500000000051
2025-01-02,09:40-09:50,58,1188.16985,1218.8626,713.9437166666667,770.79175,474.22613333333334,448.07084999999995,0.0,26.155283333333387
2025-01-02,09:50-10:00,59,1191.85,1183.2433333333333,726.01875,806.1062499999999,465.83124999999995,377.1370833333334,0.0,88.69416666666655
2025-01-02,10:00-10:10,60,1175.57585,1187.5868999999998,748.6046833333332,846.7837333333333,426.9711666666667,340.80316666666647,0.0,86.16800000000023
2025-01-02,10:10-10:20,61,1171.4651,1182.7184,794.4014999999999,889.7921333333334,377.06359999999995,292.9262666666666,0.0,84.13733333333334
2025-01-02,10:20-10:30,62,1185.9233333333332,1164.3616666666667,836.5749999999999,915.7875,349.34833333333324,248.57416666666666,0.0,100.77416666666659
