scheme,alpha,kappa,total_cost_yuan,planned_cost_yuan,emergency_cost_yuan,emergency_kwh,final_soc_kwh
0,0.5,1.0,22373853.24290592,12159071.072461318,10214782.1704446,1887205.344932152,5828.64887425926
1,0.5,1.0,16446682.836865855,12402394.991774833,4044287.845091023,651709.2922241164,5926.167663681898
2,0.8,1.0,14001826.875054263,13379747.54798924,622079.3270650228,100610.54126648797,5883.518906248937
9,-1,-1,14010512.074329562,13397554.828213055,612957.246116508,99130.75166229437,5883.518906248937
