period,old_emergency_kwh,new_emergency_kwh,reduction_emergency_kwh,reduction_rate_emergency_kwh,old_planned_cost_yuan,new_planned_cost_yuan,reduction_planned_cost_yuan,reduction_rate_planned_cost_yuan,old_emergency_cost_yuan,new_emergency_cost_yuan,reduction_emergency_cost_yuan,reduction_rate_emergency_cost_yuan,old_total_cost_yuan,new_total_cost_yuan,reduction_total_cost_yuan,reduction_rate_total_cost_yuan
2月,35652.366956391066,13409.772326950377,22242.59462944069,0.6238742761917373,1172768.4816082781,1247376.3737421515,-74607.89213387342,-0.06361689737053622,218687.70343899747,80673.02673970992,138014.67669928755,0.6311039648271147,1391456.1850472754,1328049.4004818613,63406.78456541407,0.045568653362419595
3月,51016.44487625715,13359.66748675374,37656.777389503404,0.7381301751002395,1042245.1748928021,1117865.0895094739,-75619.91461667174,-0.07255482341230264,328536.1399562168,85888.17757766892,242647.96237854788,0.7385731213950617,1370781.3148490188,1203753.2670871431,167028.04776187567,0.12184879232926556
全年评价期,192020.6186423595,126878.52230909182,65142.09633326769,0.3392453206006775,13444038.16933407,13663196.835010488,-219158.66567641683,-0.016301550391036455,1194371.953677178,783797.1864012787,410574.7672758992,0.3437578771100915,14638410.123011246,14446994.021411767,191416.1015994791,0.013076290388843346
