scheme,days,total_cost_yuan,emergency_energy_kwh,start_soc_kwh,end_soc_kwh,adopted_updates
A,334,14857312.213471437,361384.93657367845,5311.262106367785,4739.7687414068405,0
B,334,14029054.29822601,220322.5024369416,5311.262106367785,4739.7687414068405,334
C,334,13497703.050249089,88545.66488764594,5311.262106367785,4739.7687414068405,993
