strategy,plan_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,waste_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
greedy,21904057.602800813,101160.20862495276,6784977.189384802,5498258.917108985,2779310.044183279,13953887.767664913,674454.667842187,14628342.4355071,8649.331218191313,5952.227098975151
mpc,21899043.24670157,105639.67653283513,6780250.414502079,5494387.233843056,2779630.247608713,13951680.28210205,629008.4575540883,14580688.73965614,8649.331218191313,6000.0
layered,21900437.27637431,104472.71097849317,6781429.643236003,5495342.409117535,2779633.258267668,13952299.613011988,637795.304331325,14590094.917343313,8649.331218191313,6000.0
joint,21895366.13248884,103667.7114854973,6780204.500571379,5494350.043559189,2773989.8919954784,13947676.425689995,632815.8135313117,14580492.239221307,8649.331218191313,6000.0
official,21895366.13248884,103667.7114854973,6780204.500571379,5494350.043559189,2773989.8919954784,13947676.425689995,632815.8135313117,14580492.239221307,8649.331218191313,6000.0
